Cust_Id,CustFirstName,CustLastName,CustFullName,Phone,Address,City,State,ZIPCode
1,Cally,Reynolds,Cally Reynolds,(901) 166-8355,556 Lakewood Park,Bismarck,North Dakota,58505
2,Sydney,Bartlett,Sydney Bartlett,(982) 231-7357,4829 Badeau Parkway,Chattanooga,Tennessee,37405
3,Hunter,Newton,Hunter Newton,(831) 996-1240,2 Rockefeller Avenue,Waco,Texas,76796
4,Brook,Perkins,Brooke Perkins,(340) 732-9367,87 Brentwood Park,Dallas,Texas,75358
5,Nolan,Slater,Nolan Slater,(540) 487-5928,99 Sage Street,Reno,Nevada,89505
6,Germaine,Green,Germaine Green,(466) 455-4160,6 Jana Park,San Antonio,Texas,78240
7,Medge,Ratliff,Medge Ratliff,(358) 751-8227,75 Erie Terrace,Dayton,Ohio,45454
8,Nash,Vasquez,Nash Vasquez,(989) 937-6199,39464 Debra Lane,Young America,Minnesota,55557
9,Michael,Rutledge,Michael Rutledge,(366) 822-4574,8231 Crowley Crossing,Cincinnati,Ohio,45999
10,Guy,Ochoa,Guy Ochoa,(720) 242-4596,92483 Doe Crossing Drive,Lansing,Michigan,48956
11,Coby,Lucas,Coby Lucas,(177) 816-3420,7316 Dryden Road,Memphis,Tennessee,38114
12,Merrill,Freeman,Merrill Freeman,(838) 734-1768,7746 Mitchell Point,New Haven,Connecticut,06510
13,Rae,Hawkins,Rae Hawkins,(484) 158-4493,181 Packers Way,Boston,Massachusetts,02216
14,Sade,Santiago,Sade Santiago,(497) 492-4618,2 Farragut Crossing,Anchorage,Alaska,99512
15,Judith,Leonard,Judith Leonard,(549) 439-1744,2 Namekagon Trail,Trenton,New Jersey,08619
16,Malik,Faulkner,Malik Faulkner,(186) 520-2519,8 Gerald Point,Orlando,Florida,32858
17,Benjamin,Miranda,Benjamin Miranda,(992) 329-4925,40 Lighthouse Bay Circle,Saint Petersburg,Florida,33731
18,Rhona,Stanley,Rhona Stanley,(237) 294-5071,992 Haas Avenue,San Diego,California,92186
19,Amena,Petersen,Amena Petersen,(383) 554-7219,6625 Lukken Circle,Brooklyn,New York,11205
20,Lucas,Trevino,Lucas Trevino,(176) 773-9482,78 Summer Ridge Alley,Duluth,Minnesota,55805
21,Dorian,Dale,Dorian Dale,(311) 929-6026,9843 Graceland Point,Lansing,Michigan,48930
22,Shellie,Velez,Shellie Velez,(197) 282-8671,5204 Beilfuss Place,Columbus,Ohio,43204
23,Rhonda,Wilder,Rhonda Wilder,(653) 854-3876,92 Northfield Terrace,Louisville,Kentucky,40287
24,Tyrone,Powell,Tyrone Powell,(113) 724-9255,91955 Mosinee Parkway,Indianapolis,Indiana,46278
25,Raja,Wells,Raja Wells,(244) 178-1821,62 Warner Place,Washington,District of Columbia,20525
